#From Alan's document and plotdigitizer
# angstrom Transmission
1000.0  0.978
3602.36	0.978781
3816.47	0.97712
4141.5	0.972022
4418.97	0.967873
4886.83	0.963959
5251.69	0.9636
5886.38	0.966557
6330.7	0.969872
6727.42	0.973068
7203.47	0.976263
7639.83	0.978748
8123.78	0.981114
8599.76	0.982532
9067.79	0.983476
9519.94	0.983947
10043.5	0.984061
10598.7	0.983938
11074.6	0.983697
11550.6	0.983219
12010.6	0.982623
12526.2	0.982026
13002.1	0.98143
13493.8	0.980596
13969.7	0.980118
14493.2	0.979285
14937.4	0.97857
15468.8	0.977736
15944.8	0.977258
16412.7	0.976662
16896.6	0.976066
17420.1	0.97535
17967.4	0.974872
20000.0 0.97
40000.0 0.97


