"Y(X), créé par Plot Digitizer, 2.6.8"
"Date: 23/08/17, 12:17:00"


26
X,Y
201.986,5.58839,
232.345,17.9569,
240.167,18.7536,
268.444,7.17046,
288.965,7.16591,
355.478,19.1272,
397.659,49.4572,
415.303,59.6330,
462.314,79.5826,
496.572,89.9543,
521.017,92.9429,
547.407,93.9350,
586.497,94.3256,
625.581,93.5185,
672.472,90.9133,
716.423,86.5123,
747.666,81.3158,
781.825,73.3241,
807.186,64.5361,
832.544,55.3488,
862.779,44.3640,
896.918,32.5800,
933.990,20.9949,
973.023,10.6070,
1025.75,3.21008,
1053.10,0.609205,
