# rom Spectral instrument
# blue + NIR - deep depletion with fringe suppression
# QE at -100C 
# Angstrom QE
2500 0.0077810967
2600 0.0099618119
2700 0.0141808469
2800 0.0286118444
2900 0.0604802826
3000 0.1050478365
3100 0.1526685263
3200 0.1987422436
3300 0.2568672576
3400 0.3334270063
3500 0.4483694587
3600 0.5164572401
3700 0.6155679548
3800 0.738757753
3900 0.8230186815
4000 0.8716995769
4100 0.9076348878
4200 0.9183440182
4300 0.9226825606
4400 0.9207865251
4500 0.9147093214
4600 0.9073592081
4700 0.9002645486
4800 0.8953209061
4900 0.892024827
5000 0.8874382186
5100 0.8815945971
5200 0.8811118319
5300 0.8791513442
5400 0.8838076836
5500 0.8835635333
5600 0.8868298979
5700 0.8880700666
5800 0.8926397101
5900 0.894831855
6000 0.8999016826
6100 0.9025620268
6200 0.9077650557
6300 0.9119505513
6400 0.9156851697
6500 0.9184634962
6600 0.9219054421
6700 0.9247036826
6800 0.9272761808
6900 0.9294518714
7000 0.9311274125
7100 0.9322165995
7200 0.9325421443
7300 0.9320591244
7400 0.9305778629
7500 0.9279372778
7600 0.9238785071
7700 0.9182442362
7800 0.9107941918
7900 0.901254475
8000 0.8894041267
8100 0.8748184885
8200 0.8572699455
8300 0.8360608047
8400 0.8119734462
8500 0.7843047679
8600 0.7529886112
8700 0.7180682752
8800 0.6796675816
8900 0.6380587082
9000 0.5936267588
9100 0.5468431439
9200 0.4982995606
9300 0.4486582989
9400 0.3986392583
9500 0.348996657
9600 0.3004888176
9700 0.2538758527
9800 0.2098766275
9900 0.1691499585
10000 0.1322929963
10100 0.0998200068
10200 0.0721546896
10300 0.0496244533
10400 0.0323073256
10500 0.0191519353
10600 0
10700 0
10800 0
10900 0
11000 0
