# http://www.aip.de/en/research/facilities/stella/instruments/data
# nm    Transmission
445     0.0
445.5     0.002499066
446     0.001426105
446.5     0.002066951
447     0.00230002
447.5     0.00330199
448     0.003071561
448.5     0.00156712
449     0.002988941
449.5     0.003060109
450     0.003205409
450.5     0.003869639
451     0.00282815
451.5     0.002529813
452     0.002675629
452.5     0.003188351
453     0.001717673
453.5     0.003035424
454     0.002302293
454.5     0.001864237
455     0.003173741
455.5     0.003244075
456     0.003313364
456.5     0.003600161
457     0.003813352
457.5     0.003089786
458     0.00344718
458.5     0.002941611
459     0.002867878
459.5     0.003368446
460     0.002721881
460.5     0.003648992
461     0.00518203
461.5     0.005597631
462     0.004303025
462.5     0.003617446
463     0.006034468
463.5     0.004367732
464     0.00579644
464.5     0.005865356
465     0.007889393
465.5     0.007204431
466     0.007196636
466.5     0.009358376
467     0.010544402
467.5     0.012320574
468     0.01312689
468.5     0.016086843
469     0.017186783
469.5     0.019606918
470     0.023806777
470.5     0.026585033
471     0.031421557
471.5     0.036256794
472     0.043929324
472.5     0.052636553
473     0.059841137
473.5     0.071099803
474     0.085742004
474.5     0.101616859
475     0.122275144
475.5     0.144862622
476     0.176821649
476.5     0.215652958
477     0.261935234
477.5     0.317661643
478     0.386366218
478.5     0.474767298
479     0.578332484
479.5     0.710839629
480     0.872553587
480.5     1.064752936
481     1.307706118
481.5     1.595857143
482     1.943384171
482.5     2.370754719
483     2.872772217
483.5     3.464089632
484     4.167230606
484.5     4.966032505
485     5.919353485
485.5     6.992929459
486     8.217963219
486.5     9.620521545
487     11.14160156
487.5     12.81472301
488     14.71142292
488.5     16.69654846
489     18.89259338
489.5     21.20778275
490     23.62485313
490.5     26.18263626
491     28.77396965
491.5     31.42494202
492     34.22417831
492.5     36.95867538
493     39.77479172
493.5     42.55845261
494     45.28088379
494.5     48.06955719
495     50.73743439
495.5     53.31735611
496     55.95597076
496.5     58.34102631
497     60.68194962
497.5     62.98374557
498     65.14392853
498.5     67.26944733
499     69.21595001
499.5     71.08501434
500     72.84253693
500.5     74.46763611
501     75.99686432
501.5     77.43934631
502     78.80669403
502.5     80.06488037
503     81.2434845
503.5     82.32234192
504     83.38137054
504.5     84.29095459
505     85.16732788
505.5     86.01041412
506     86.71925354
506.5     87.4201889
507     88.03078461
507.5     88.63916779
508     89.17706299
508.5     89.6638031
509     90.10810089
509.5     90.5133667
510     90.90045166
510.5     91.24517822
511     91.5404129
511.5     91.85337067
512     92.12495422
512.5     92.34123993
513     92.57933807
513.5     92.79024506
514     92.96917725
514.5     93.11759186
515     93.25953674
515.5     93.38522339
516     93.50623322
516.5     93.60092926
517     93.69736481
517.5     93.76205444
518     93.84767151
518.5     93.89930725
519     93.93641663
519.5     93.98028564
520     94.04483795
520.5     94.07440186
521     94.10150146
521.5     94.12832642
522     94.11099243
522.5     94.10169983
523     94.09174347
523.5     94.09336853
524     94.08493042
524.5     94.03474426
525     93.98947144
525.5     93.98835754
526     93.94245911
526.5     93.90195465
527     93.84949493
527.5     93.80600739
528     93.75413513
528.5     93.71824646
529     93.63430023
529.5     93.60139465
530     93.52339172
530.5     93.46012115
531     93.38285828
531.5     93.30584717
532     93.20334625
532.5     93.13159943
533     93.021698
533.5     92.95490265
534     92.83392334
534.5     92.7181778
535     92.64871979
535.5     92.52713013
536     92.42010498
536.5     92.31174469
537     92.18958282
537.5     92.06368256
538     91.93492889
538.5     91.81449127
539     91.69980621
539.5     91.56217957
540     91.40821838
540.5     91.27336121
541     91.12490082
541.5     90.94870758
542     90.79370117
542.5     90.64783478
543     90.49147034
543.5     90.30392456
544     90.14329529
544.5     89.99219513
545     89.78933716
545.5     89.63648224
546     89.44308472
546.5     89.25012207
547     89.08204651
547.5     88.86943054
548     88.68076324
548.5     88.4752655
549     88.26218414
