# http://www.aip.de/en/research/facilities/stella/instruments/data
# nm     Transmission
199.5    0.0
509      0.0
509.5     0.00094393
510     0.002235263
510.5     0.002378725
511     0.001804629
511.5     0.002878938
512     0.003307743
512.5     0.00058887
513     0.002090801
513.5     0.002591363
514     0.002876764
514.5     0.001304878
515     0.001519206
515.5     0.002233035
516     0.001234031
516.5     0.00294604
517     0.003444896
517.5     0.002730852
518     0.00216138
518.5     0.002161139
519     0.002873145
519.5     0.001519935
520     0.003300774
520.5     0.003798606
521     0.002944848
521.5     0.004226885
522     0.001591399
522.5     0.003157927
523     0.002089794
523.5     0.003585025
524     0.003087305
524.5     0.004084445
525     0.003371919
525.5     0.004726795
526     0.003515072
526.5     0.004228015
527     0.005084066
527.5     0.003445528
528     0.004586839
528.5     0.005302497
529     0.008155693
529.5     0.005518154
530     0.007949885
530.5     0.007810296
531     0.008314351
531.5     0.010035492
532     0.011399923
532.5     0.011982385
533     0.015071834
533.5     0.014298344
534     0.016892474
534.5     0.020139355
535     0.022898281
535.5     0.025804972
536     0.029007696
536.5     0.03127712
537     0.036960699
537.5     0.042726781
538     0.048665412
538.5     0.056586258
539     0.067224726
539.5     0.076393768
540     0.087936729
540.5     0.10291069
541     0.120258078
541.5     0.139557898
542     0.161203221
542.5     0.188781992
543     0.22050184
543.5     0.255037785
544     0.29720524
544.5     0.344852358
545     0.402524889
545.5     0.468199611
546     0.54288739
546.5     0.627497912
547     0.726718903
547.5     0.842700779
548     0.974727988
548.5     1.123070717
549     1.293524623
549.5     1.48631382
550     1.706304073
550.5     1.953624725
551     2.235859156
551.5     2.546650171
552     2.904413462
552.5     3.293370724
553     3.738025904
553.5     4.232913971
554     4.766122818
554.5     5.355459213
555     6.007618904
555.5     6.704731464
556     7.48964262
556.5     8.321007729
557     9.232580185
557.5     10.22378159
558     11.24153137
558.5     12.3707428
559     13.57418156
559.5     14.81252289
560     16.16525269
560.5     17.55830193
561     19.00156403
561.5     20.56314659
562     22.11615944
562.5     23.79972076
563     25.50657463
563.5     27.23831558
564     29.00615311
564.5     30.7889843
565     32.62343597
565.5     34.53185654
566     36.41630173
566.5     38.31930923
567     40.21298981
567.5     42.0211792
568     43.87369537
568.5     45.69128418
569     47.59418106
569.5     49.30135727
570     50.97922516
570.5     52.64988708
571     54.32490158
571.5     55.87856674
572     57.46903229
572.5     58.96470642
573     60.39918518
573.5     61.81441498
574     63.13598633
574.5     64.40007019
575     65.64186096
575.5     66.78702545
576     67.89602661
576.5     68.92990112
577     69.91790771
577.5     70.86507416
578     71.74619293
578.5     72.56185913
579     73.34972382
579.5     74.10203552
580     74.78157043
580.5     75.42503357
581     76.03323364
581.5     76.58138275
582     77.09326172
582.5     77.59177399
583     78.06031036
583.5     78.46118927
584     78.84142303
584.5     79.20645142
585     79.51274872
585.5     79.83106995
586     80.08254242
586.5     80.35255432
587     80.58981323
587.5     80.81713867
588     80.97647858
588.5     81.13143158
589     81.29089355
589.5     81.41145325
590     81.53478241
590.5     81.61820984
591     81.69754791
591.5     81.78852844
592     81.82134247
592.5     81.87162018
593     81.91542053
593.5     81.91873169
594     81.92611694
594.5     81.93069458
595     81.95018005
595.5     81.90583801
596     81.9198761
596.5     81.86969757
597     81.82957458
597.5     81.77098083
598     81.73604584
598.5     81.67653656
599     81.59781647
599.5     81.55031586
600     81.47905731
600.5     81.39785767
601     81.33335876
601.5     81.22969818
602     81.14715576
602.5     81.02639771
603     80.92240906
603.5     80.83629608
604     80.74497986
604.5     80.61192322
605     80.49958038
605.5     80.38227844
606     80.25907135
606.5     80.14071655
607     79.99421692
607.5     79.85900116
608     79.75567627
608.5     79.59643555
609     79.46527863
609.5     79.32770538
610     79.17319489
610.5     79.02487183
611     78.88967133
611.5     78.73600769
612     78.57640076
612.5     78.39499664
613     78.2405014
613.5     78.09128571
614     77.92937469
614.5     77.77402496
615     77.59609222
615.5     77.4257431
616     77.26163483
616.5     77.07751465
617     76.90136719
617.5     76.7247467
618     76.54134369
618.5     76.35106659
619     76.17784882
619.5     76.00981903
620     75.79759979
620.5     75.60574341
621     75.41682434
621.5     75.22268677
622     75.01544189
622.5     74.8504715
623     74.64862061
623.5     74.45414734
624     74.23802185
624.5     74.0453186
625     73.8398056
625.5     73.62985992
626     73.41822815
626.5     73.21456909
627     73.02371216
627.5     72.81240082
628     72.60812378
628.5     72.37607574
629     72.16812134
629.5     71.95013428
630     71.74119568
630.5     71.51904297
631     71.29589844
631.5     71.07944489
632     70.85635376
632.5     70.64455414
633     70.42154694
633.5     70.20052338
634     69.97299957
634.5     69.7705307
635     69.5294342
635.5     69.32110596
636     69.08799744
636.5     68.86618805
637     68.64337158
637.5     68.4078064
638     68.1802597
638.5     67.95687866
639     67.71125793
639.5     67.48309326
640     67.26707458
640.5     67.02268982
641     66.79827881
641.5     66.5619278
642     66.34375763
642.5     66.11487579
643     65.86396027
643.5     65.63545227
644     65.40797424
644.5     65.16425323
645     64.92672729
645.5     64.68294525
646     64.44278717
646.5     64.21096039
647     63.96414566
647.5     63.72301102
648     63.48202896
648.5     63.23881912
649     62.99859238
649.5     62.77210236
650     62.50484467
650.5     62.26861572
651     62.03138733
651.5     61.78503799
652     61.55244827
652.5     61.27646637
653     61.04286957
653.5     60.81013107
654     60.56146622
654.5     60.33418274
655     60.07561111
655.5     59.82032394
656     59.57906723
656.5     59.34456635
657     59.11544418
657.5     58.87825394
658     58.61563873
658.5     58.38384628
659     58.12862396
659.5     57.89193344
660     57.64058304
660.5     57.38600922
661     57.15373611
661.5     56.88845062
662     56.6361351
662.5     56.38449097
663     56.13951111
663.5     55.9057579
664     55.64930344
664.5     55.40507507
665     55.15139771
665.5     54.9031601
666     54.65501404
666.5     54.40632248
667     54.15691757
667.5     53.88895416
668     53.65568924
668.5     53.41349792
669     53.15185165
669.5     52.91036987
670     52.63829041
670.5     52.41033554
671     52.14332199
671.5     51.87356949
672     51.63314438
672.5     51.36862946
673     51.12384415
673.5     50.85406494
674     50.58325958
674.5     50.32997131
675     50.07619095
675.5     49.80160141
676     49.54104614
676.5     49.27126694
677     49.00761032
677.5     48.73376083
678     48.46328354
678.5     48.21964645
679     47.93523407
679.5     47.66994858
680     47.38457489
680.5     47.11907578
681     46.8348999
681.5     46.57181168
682     46.2923584
682.5     46.02395248
683     45.75318909
683.5     45.46068954
684     45.20233536
684.5     44.91598129
685     44.63775635
685.5     44.36752701
686     44.09214783
686.5     43.82623672
687     43.55319595
687.5     43.27306747
688     43.00679779
688.5     42.73532104
689     42.45966339
689.5     42.19232178
690     41.92084122
690.5     41.64644623
691     41.37291336
691.5     41.09415817
692     40.82403946
692.5     40.55739212
693     40.27168655
693.5     40.01154709
694     39.73058319
694.5     39.47066116
695     39.19721985
695.5     38.92364502
696     38.66024399
696.5     38.39216995
697     38.11877441
697.5     37.86681747
698     37.5933342
698.5     37.32818604
699     37.07518768
699.5     36.80360794
700     36.55055237
700.5     36.28239059
701     36.02098465
701.5     35.77380753
702     35.50396347
702.5     35.2504921
703     34.98455429
703.5     34.73387146
704     34.47249603
704.5     34.22634506
705     33.95766068
705.5     33.71575928
706     33.44722366
706.5     33.20860672
707     32.95179749
707.5     32.70674133
708     32.45484924
708.5     32.21118927
709     31.95403481
709.5     31.71827507
710     31.47098351
710.5     31.23464966
711     30.99447823
711.5     30.74180412
712     30.50188637
712.5     30.26708412
713     30.01971626
713.5     29.79561043
714     29.55106544
714.5     29.30206299
715     29.07637596
715.5     28.83877182
716     28.61512566
716.5     28.3663578
717     28.13087082
717.5     27.91544533
718     27.6910038
718.5     27.45341301
719     27.22860336
719.5     26.99889183
720     26.78689575
720.5     26.55051994
721     26.3301754
721.5     26.11871719
722     25.89850426
722.5     25.67448235
723     25.46568489
723.5     25.23441696
724     25.02902985
724.5     24.81295013
725     24.59818649
725.5     24.38427353
726     24.16856766
726.5     23.95843887
727     23.7460537
727.5     23.52911186
728     23.33279228
728.5     23.12833595
729     22.90930748
729.5     22.71165085
730     22.51129532
730.5     22.30462646
731     22.11213303
731.5     21.89938354
732     21.7072773
732.5     21.50807571
733     21.31085587
733.5     21.1158638
734     20.91628456
734.5     20.72376251
735     20.53005981
735.5     20.3313446
736     20.14351463
736.5     19.95856476
737     19.75452805
737.5     19.57912827
738     19.38879776
738.5     19.18796349
739     19.00649261
739.5     18.83092308
740     18.63807297
740.5     18.45500374
