# DES Document 5847-v1
# Asahi measured area-weighted response [u filter], for the other filters, area-weighted response [in pass band], witness sample measurements [out of pass band]
# wavelength(nm), DECam-u, DES-g, DES-r, DES-i, DES-z, DES-Y
300,0.13401776,0.00082373,0.00089314,0.00200531,0.00221552,0.00052440
301,0.10761069,0.00105835,0.00099687,0.00227989,0.00221496,0.00072794
302,0.08801897,0.00130958,0.00073010,0.00206938,0.00260144,0.00037700
303,0.15126038,0.00103889,0.00083431,0.00209648,0.00217149,0.00042126
304,2.11805728,0.00108156,0.00117723,0.00224326,0.00227966,0.00060362
305,8.55043000,0.00114917,0.00078745,0.00204182,0.00251759,0.00041272
306,18.55345172,0.00112372,0.00067501,0.00201045,0.00231644,0.00037081
307,28.39175862,0.00100750,0.00091417,0.00229288,0.00247387,0.00065338
308,32.97253103,0.00129587,0.00072511,0.00213423,0.00263897,0.00047711
309,36.49960690,0.00105287,0.00070780,0.00200811,0.00231014,0.00047260
310,40.44250690,0.00110656,0.00073470,0.00201879,0.00223954,0.00051658
311,48.22088966,0.00116146,0.00101573,0.00206739,0.00204098,0.00067809
312,54.98317586,0.00095611,0.00096818,0.00215034,0.00213190,0.00047815
313,59.29270000,0.00111751,0.00083700,0.00205281,0.00228641,0.00090229
314,63.87615517,0.00089938,0.00075936,0.00215362,0.00223035,0.00118929
315,67.57535172,0.00108569,0.00081611,0.00217301,0.00227717,0.00118790
316,69.58726552,0.00082586,0.00075423,0.00236034,0.00247652,0.00074904
317,70.05563448,0.00096553,0.00069801,0.00227490,0.00247934,0.00102548
318,72.60301034,0.00095659,0.00093826,0.00224198,0.00248738,0.00118293
319,76.78950345,0.00086299,0.00089253,0.00195791,0.00273667,0.00183557
320,79.91230345,0.00098551,0.00100800,0.00194184,0.00285365,0.00150673
321,81.39916897,0.00095817,0.00076177,0.00193740,0.00326519,0.00131143
322,82.51021724,0.00076383,0.00060978,0.00213341,0.00333574,0.00165662
323,82.79112759,0.00087360,0.00073559,0.00244781,0.00274442,0.00181180
324,83.62266207,0.00101095,0.00089449,0.00215108,0.00274968,0.00098581
325,85.05311034,0.00094950,0.00071708,0.00195036,0.00320030,0.00053444
326,86.60012759,0.00102636,0.00075762,0.00202494,0.00323955,0.00073975
327,87.72194828,0.00103958,0.00069141,0.00193885,0.00360093,0.00087438
328,87.75521034,0.00085790,0.00070840,0.00192710,0.00484734,0.00114679
329,88.23660690,0.00084925,0.00085711,0.00221708,0.00570214,0.00182929
330,89.69900345,0.00095538,0.00063161,0.00200713,0.00464375,0.00201358
331,89.91213103,0.00098186,0.00066862,0.00209862,0.00294743,0.00143093
332,88.26274138,0.00117095,0.00062283,0.00195958,0.00285625,0.00100138
333,87.94605862,0.00109008,0.00070020,0.00228759,0.00293500,0.00064196
