# J (http://www.cfht.hawaii.edu/Instruments/Filters/wircam.html)
# nm        Transmission (%)
1146.00     0.0
1146.20     0.533
1146.40     0.540
1146.60     0.551
1146.80     0.565
1147.00     0.574
1147.20     0.583
1147.40     0.594
1147.60     0.603
1147.80     0.609
1148.00     0.621
1148.20     0.633
1148.40     0.648
1148.60     0.665
1148.80     0.681
1149.00     0.700
1149.20     0.717
1149.40     0.729
1149.60     0.745
1149.80     0.761
1150.00     0.777
1150.20     0.793
1150.40     0.815
1150.60     0.836
1150.80     0.861
1151.00     0.885
1151.20     0.903
1151.40     0.919
1151.60     0.940
1151.80     0.961
1152.00     0.984
1152.20     1.004
1152.40     1.030
1152.60     1.051
1152.80     1.074
1153.00     1.099
1153.20     1.122
1153.40     1.143
1153.60     1.166
1153.80     1.189
1154.00     1.210
1154.20     1.234
1154.40     1.263
1154.60     1.294
1154.80     1.317
1155.00     1.347
1155.20     1.375
1155.40     1.402
1155.60     1.428
1155.80     1.462
1156.00     1.495
1156.20     1.523
1156.40     1.556
1156.60     1.588
1156.80     1.619
1157.00     1.654
1157.20     1.692
1157.40     1.733
1157.60     1.770
1157.80     1.807
1158.00     1.849
1158.20     1.889
1158.40     1.930
1158.60     1.974
1158.80     2.023
1159.00     2.072
1159.20     2.124
1159.40     2.182
1159.60     2.238
1159.80     2.304
1160.00     2.370
1160.20     2.438
1160.40     2.513
1160.60     2.594
1160.80     2.676
1161.00     2.773
1161.20     2.869
1161.40     2.971
1161.60     3.084
1161.80     3.206
1162.00     3.336
1162.20     3.479
1162.40     3.625
1162.60     3.786
1162.80     3.963
1163.00     4.152
1163.20     4.362
1163.40     4.585
1163.60     4.817
1163.80     5.072
1164.00     5.347
1164.20     5.640
1164.40     5.954
1164.60     6.290
1164.80     6.650
1165.00     7.033
1165.20     7.430
1165.40     7.852
1165.60     8.304
1165.80     8.778
1166.00     9.273
1166.20     9.792
1166.40    10.330
1166.60    10.896
1166.80    11.491
1167.00    12.102
1167.20    12.735
1167.40    13.390
1167.60    14.066
1167.80    14.763
1168.00    15.482
1168.20    16.220
1168.40    16.985
1168.60    17.760
1168.80    18.550
1169.00    19.354
1169.20    20.177
1169.40    21.010
1169.60    21.857
1169.80    22.716
1170.00    23.579
1170.20    24.451
1170.40    25.334
1170.60    26.218
1170.80    27.104
1171.00    27.998
1171.20    28.882
1171.40    29.762
1171.60    30.643
1171.80    31.523
1172.00    32.397
1172.20    33.267
1172.40    34.125
1172.60    34.972
1172.80    35.814
1173.00    36.636
1173.20    37.450
1173.40    38.251
1173.60    39.038
1173.80    39.813
1174.00    40.576
1174.20    41.324
1174.40    42.061
1174.60    42.783
1174.80    43.492
1175.00    44.191
1175.20    44.879
1175.40    45.557
1175.60    46.228
1175.80    46.892
1176.00    47.543
1176.20    48.192
1176.40    48.836
1176.60    49.480
1176.80    50.119
1177.00    50.758
1177.20    51.392
1177.40    52.026
1177.60    52.657
1177.80    53.287
1178.00    53.918
1178.20    54.547
1178.40    55.183
1178.60    55.817
1178.80    56.454
1179.00    57.086
1179.20    57.727
1179.40    58.368
1179.60    59.007
1179.80    59.645
1180.00    60.283
1180.20    60.921
1180.40    61.559
1180.60    62.199
1180.80    62.840
1181.00    63.480
1181.20    64.114
1181.40    64.745
1181.60    65.359
1181.80    65.971
1182.00    66.577
1182.20    67.177
1182.40    67.761
1182.60    68.333
1182.80    68.895
1183.00    69.443
1183.20    69.974
1183.40    70.490
1183.60    70.984
1183.80    71.455
1184.00    71.915
1184.20    72.343
1184.40    72.748
1184.60    73.135
1184.80    73.500
1185.00    73.840
1185.20    74.149
1185.40    74.435
1185.60    74.702
1185.80    74.937
1186.00    75.150
1186.20    75.334
1186.40    75.499
1186.60    75.638
1186.80    75.760
1187.00    75.862
1187.20    75.937
1187.40    76.003
1187.60    76.053
1187.80    76.080
1188.00    76.096
1188.20    76.102
1188.40    76.102
1188.60    76.088
1188.80    76.062
1189.00    76.031
1189.20    75.999
1189.40    75.964
1189.60    75.928
1189.80    75.887
1190.00    75.848
1190.20    75.809
1190.40    75.774
1190.60    75.740
1190.80    75.714
1191.00    75.691
1191.20    75.674
1191.40    75.662
1191.60    75.659
1191.80    75.668
1192.00    75.682
1192.20    75.711
1192.40    75.748
1192.60    75.800
1192.80    75.854
1193.00    75.923
1193.20    76.003
1193.40    76.096
1193.60    76.201
1193.80    76.314
1194.00    76.439
1194.20    76.576
1194.40    76.727
1194.60    76.881
1194.80    77.045
1195.00    77.213
1195.20    77.391
1195.40    77.576
1195.60    77.759
1195.80    77.945
1196.00    78.134
1196.20    78.326
1196.40    78.523
1196.60    78.714
1196.80    78.906
1197.00    79.094
1197.20    79.283
1197.40    79.469
1197.60    79.649
1197.80    79.825
1198.00    79.999
1198.20    80.171
1198.40    80.341
1198.60    80.501
1198.80    80.658
1199.00    80.809
1199.20    80.956
1199.40    81.096
1199.60    81.224
1199.80    81.345
1200.00    81.462
1200.20    81.570
1200.40    81.670
1200.60    81.764
1200.80    81.856
1201.00    81.940
