# W best (http://www.cfht.hawaii.edu/Instruments/Filters/wircam.html)
# nm        Transmission (%)
1347.00     0.0
1347.61     0.021014403
1348.11     0.012072177
1348.61     -0.000459673
1349.11     0.003711878
1349.61     0.018278566
1350.11     0.009509857
1350.61     -0.007206131
1351.11     0.005400062
1351.60     -0.001611914
1352.10     0.007433656
1352.60     0.00743109
1353.10     -0.003486416
1353.60     -0.005679156
1354.10     0.003905768
1354.60     0.004407981
1355.10     0.0004621
1355.60     0.000492095
1356.10     0.000564767
1356.60     0.003274661
1357.09     0.017726514
1357.59     -0.001661565
1358.09     -0.005639336
1358.59     0.014844565
1359.09     -0.002167848
1359.59     0.017758869
1360.09     0.018136604
1360.59     0.01974607
1361.09     0.0139263
1361.59     0.024150099
1362.09     0.018295368
1362.58     0.01426256
1363.08     0.024969887
1363.58     0.022068104
1364.08     0.020908278
1364.58     0.038753032
1365.08     0.024615806
1365.58     0.047953401
1366.08     0.035769563
1366.58     0.033785555
1367.08     0.047466941
1367.58     0.046231465
1368.07     0.056367285
1368.57     0.053220529
1369.07     0.061266766
1369.57     0.070807525
1370.07     0.066793437
1370.57     0.066285401
1371.07     0.100134076
1371.57     0.089293294
1372.07     0.084141759
1372.57     0.093731788
1373.07     0.127365601
1373.57     0.106023485
1374.06     0.138121045
1374.56     0.123204501
1375.06     0.143919686
1375.56     0.155430573
1376.06     0.171438231
1376.56     0.190200812
1377.06     0.195585002
1377.56     0.192924564
1378.06     0.247511603
1378.56     0.232840072
1379.06     0.257655816
1379.55     0.272415082
1380.05     0.301226959
1380.55     0.304980834
1381.05     0.301113861
1381.55     0.335329402
1382.05     0.36210368
1382.55     0.384533712
1383.05     0.406604575
1383.55     0.425120429
1384.05     0.435410223
1384.55     0.462236892
1385.04     0.474145303
1385.54     0.51205008
1386.04     0.557306804
1386.54     0.58868633
1387.04     0.624619668
1387.54     0.699887785
1388.04     0.738427694
1388.54     0.78049886
1389.04     0.866927993
1389.53     0.948670279
1390.03     1.050530407
1390.52     1.16066991
1391.01     1.276099562
1391.50     1.435224631
1392.00     1.625923951
1392.49     1.803424
1392.98     2.030629267
1393.48     2.328314597
1393.97     2.577072535
1394.46     2.891832064
1394.95     3.328461264
1395.45     3.746076535
1395.94     4.231210898
1396.46     4.788693412
1396.97     5.357844344
1397.49     5.999110498
1398.00     6.600068134
1398.52     7.383270721
1399.03     8.206240149
1399.55     9.054355016
1400.06     9.905143926
1400.58     10.76869271
1401.09     11.72636797
1401.61     12.72129101
1402.12     14.19425442
1402.64     14.96692868
1403.15     16.1970406
