# H (http://www.cfht.hawaii.edu/Instruments/Filters/wircam.html) 
# nm        Transmission (%)
1428.50     0.0
1429.00     0.056
1429.50     0.052
1430.00     0.056
1430.50     0.078
1431.00     0.089
1431.50     0.084
1432.00     0.092
1432.50     0.073
1433.00     0.063
1433.50     0.060
1434.00     0.081
1434.50     0.063
1435.00     0.049
1435.50     0.043
1436.00     0.046
1436.50     0.049
1437.00     0.032
1437.50     0.032
1438.00     0.024
1438.50     0.017
1439.00     0.024
1439.50     0.027
1440.00     0.024
1440.50     0.027
1441.00     0.053
1441.50     0.046
1442.00     0.061
1442.50     0.050
1443.00     0.050
1443.50     0.046
1444.00     0.073
1444.50     0.076
1445.00     0.058
1445.50     0.073
1446.00     0.076
1446.50     0.095
1447.00     0.102
1447.50     0.113
1448.00     0.110
1448.50     0.117
1449.00     0.133
1449.50     0.148
1450.00     0.140
1450.50     0.156
1451.00     0.163
1451.50     0.194
1452.00     0.206
1452.50     0.214
1453.00     0.229
1453.50     0.218
1454.00     0.203
1454.50     0.218
1455.00     0.233
1455.50     0.235
1456.00     0.215
1456.50     0.235
1457.00     0.262
1457.50     0.285
1458.00     0.294
1458.50     0.307
1459.00     0.314
1459.50     0.354
1460.00     0.417
1460.50     0.433
1461.00     0.435
1461.50     0.487
1462.00     0.534
1462.50     0.575
1463.00     0.612
1463.50     0.653
1464.00     0.671
1464.50     0.732
1465.00     0.813
1465.50     0.856
1466.00     0.920
1466.50     0.995
1467.00     1.085
1467.50     1.167
1468.00     1.262
1468.50     1.393
1469.00     1.506
1469.50     1.646
1470.00     1.828
1470.50     2.002
1471.00     2.194
1471.50     2.435
1472.00     2.689
1472.50     2.959
1473.00     3.279
1473.50     3.636
1474.00     4.005
1474.50     4.411
1475.00     4.855
1475.50     5.325
1476.00     5.824
1476.50     6.378
1477.00     6.964
1477.50     7.611
1478.00     8.322
1478.50     9.100
1479.00     9.918
1479.50    10.808
1480.00    11.777
1480.50    12.807
1481.00    13.870
1481.50    15.030
1482.00    16.202
1482.50    17.488
1483.00    18.848
1483.50    20.308
1484.00    21.852
1484.50    23.460
1485.00    25.143
1485.50    26.910
1486.00    28.763
1486.50    30.730
1487.00    32.729
1487.50    34.789
1488.00    36.913
1488.50    39.175
1489.00    41.461
1489.50    43.822
1490.00    46.227
1490.50    48.683
1491.00    51.155
1491.50    53.667
1492.00    56.157
1492.50    58.624
1493.00    61.078
1493.50    63.483
1494.00    65.877
1494.50    68.153
1495.00    70.401
1495.50    72.548
1496.00    74.631
1496.50    76.593
1497.00    78.485
1497.50    80.211
1498.00    81.795
1498.50    83.258
1499.00    84.634
1499.50    85.812
1500.00    86.888
1500.50    87.808
1501.00    88.660
1501.50    89.384
1502.00    90.030
1502.50    90.541
1503.00    90.953
1503.50    91.289
1504.00    91.565
1504.50    91.786
1505.00    91.949
1505.50    92.050
1506.00    92.175
1506.50    92.230
1507.00    92.255
1507.50    92.268
1508.00    92.252
1508.50    92.235
1509.00    92.204
1509.50    92.197
1510.00    92.165
1510.50    92.183
1511.00    92.216
1511.50    92.242
1512.00    92.328
1512.50    92.358
1513.00    92.407
1513.50    92.455
1514.00    92.488
1514.50    92.496
1515.00    92.531
1515.50    92.641
1516.00    92.682
1516.50    92.751
1517.00    92.790
1517.50    92.828
1518.00    92.892
1518.50    92.966
1519.00    93.015
1519.50    92.993
1520.00    92.993
1520.50    92.967
1521.00    92.970
1521.50    93.018
1522.00    93.022
1522.50    93.028
1523.00    93.040
1523.50    93.036
1524.00    93.036
1524.50    93.025
1525.00    93.015
1525.50    92.955
1526.00    92.902
1526.50    92.825
1527.00    92.747
1527.50    92.693
1528.00    92.668
1528.50    92.659
1529.00    92.615
1529.50    92.601
1530.00    92.574
1530.50    92.545
1531.00    92.535
1531.50    92.529
1532.00    92.476
1532.50    92.433
1533.00    92.393
1533.50    92.339
1534.00    92.294
1534.50    92.261
1535.00    92.230
1535.50    92.204
1536.00    92.186
1536.50    92.151
1537.00    92.140
1537.50    92.116
1538.00    92.108
1538.50    92.110
1539.00    92.096
1539.50    92.070
1540.00    92.038
1540.50    92.021
1541.00    92.021
1541.50    92.012
1542.00    91.994
1542.50    91.966
1543.00    91.940
