 # Ks   (http://www.cfht.hawaii.edu/Instruments/Filters/wircam.html)
 # nm        Transmission (%)
 1922.00     0.0
 1922.50    -0.443
 1923.00    -0.462
 1923.50    -0.420
 1924.00    -0.545
 1924.50    -0.482
 1925.00    -0.461
 1925.50    -0.543
 1926.00    -0.668
 1926.50    -0.647
 1927.00    -0.543
 1927.50    -0.522
 1928.00    -0.522
 1928.50    -0.604
 1929.00    -0.644
 1929.50    -0.542
 1930.00    -0.435
 1930.50    -0.331
 1931.00    -0.394
 1931.50    -0.351
 1932.00    -0.351
 1932.50    -0.330
 1933.00    -0.186
 1933.50    -0.311
 1934.00    -0.394
 1934.50    -0.415
 1935.00    -0.311
 1935.50    -0.395
 1936.00    -0.293
 1936.50    -0.334
 1937.00    -0.375
 1937.50    -0.272
 1938.00    -0.146
 1938.50    -0.105
 1939.00    -0.249
 1939.50    -0.124
 1940.00    -0.145
 1940.50    -0.185
 1941.00    -0.266
 1941.50    -0.204
 1942.00    -0.124
 1942.50    -0.044
 1943.00    -0.023
 1943.50    -0.124
 1944.00    -0.165
 1944.50    -0.124
 1945.00    -0.021
 1945.50    -0.082
 1946.00    -0.203
 1946.50    -0.345
 1947.00    -0.284
 1947.50    -0.063
 1948.00    -0.021
 1948.50    -0.002
 1949.00     0.079
 1949.50     0.159
 1950.00     0.139
 1950.50     0.200
 1951.00     0.220
 1951.50     0.220
 1952.00     0.240
 1952.50     0.398
 1953.00     0.438
 1953.50     0.418
 1954.00     0.539
 1954.50     0.598
 1955.00     0.658
 1955.50     0.595
 1956.00     0.754
 1956.50     0.731
 1957.00     0.829
 1957.50     0.906
 1958.00     1.042
 1958.50     1.176
 1959.00     1.387
 1959.50     1.561
 1960.00     1.578
 1960.50     1.714
 1961.00     1.770
 1961.50     1.942
 1962.00     2.057
 1962.50     2.283
 1963.00     2.376
 1963.50     2.431
 1964.00     2.641
 1964.50     2.940
 1965.00     3.188
 1965.50     3.513
 1966.00     3.841
 1966.50     4.109
 1967.00     4.437
 1967.50     4.858
 1968.00     5.138
 1968.50     5.484
 1969.00     5.833
 1969.50     6.160
 1970.00     6.641
 1970.50     7.022
 1971.00     7.552
 1971.50     8.191
 1972.00     8.948
 1972.50     9.470
 1973.00    10.268
 1973.50    11.011
 1974.00    11.623
 1974.50    12.466
 1975.00    13.254
 1975.50    14.134
 1976.00    15.041
 1976.50    16.124
 1977.00    17.024
 1977.50    18.124
 1978.00    19.298
 1978.50    20.563
 1979.00    21.848
 1979.50    23.201
 1980.00    24.522
 1980.50    25.993
 1981.00    27.560
 1981.50    29.164
 1982.00    30.975
 1982.50    32.809
 1983.00    34.734
 1983.50    36.688
 1984.00    38.693
 1984.50    40.785
 1985.00    42.859
 1985.50    45.116
 1986.00    47.171
 1986.50    49.217
 1987.00    51.314
 1987.50    53.391
 1988.00    55.516
 1988.50    57.697
 1989.00    60.068
 1989.50    62.231
 1990.00    64.407
 1990.50    66.554
 1991.00    68.594
 1991.50    70.721
 1992.00    72.710
 1992.50    74.504
 1993.00    76.048
 1993.50    77.513
 1994.00    79.004
 1994.50    80.415
 1995.00    81.711
 1995.50    82.915
 1996.00    84.143
 1996.50    85.373
 1997.00    86.440
 1997.50    87.405
 1998.00    88.304
 1998.50    89.075
 1999.00    89.919
 1999.50    90.440
 2000.00    90.967
 2000.50    91.188
 2001.00    91.666
 2001.50    92.082
 2002.00    92.412
 2002.50    92.625
 2003.00    92.831
 2003.50    93.076
 2004.00    93.251
 2004.50    93.504
 2005.00    93.596
 2005.50    93.724
 2006.00    94.005
 2006.50    94.374
 2007.00    94.580
 2007.50    94.778
 2008.00    94.962
 2008.50    95.065
 2009.00    95.277
 2009.50    95.343
 2010.00    95.341
 2010.50    95.186
 2011.00    95.288
 2011.50    95.451
 2012.00    95.567
 2012.50    95.743
 2013.00    95.912
 2013.50    96.199
 2014.00    96.356
 2014.50    96.637
 2015.00    96.844
 2015.50    96.974
 2016.00    97.081
 2016.50    97.134
 2017.00    97.110
 2017.50    97.029
 2018.00    97.119
 2018.50    97.116
 2019.00    97.064
 2019.50    97.020
 2020.00    97.121
 2020.50    97.093
 2021.00    97.212
 2021.50    97.327
 2022.00    97.171
 2022.50    97.087
 2023.00    96.954
 2023.50    96.814
 2024.00    96.402
 2024.50    96.315
 2025.00    96.193
 2025.50    95.975
 2026.00    95.950
 2026.50    95.885
 2027.00    95.857
 2027.50    95.900
 2028.00    96.091
 2028.50    96.243
 2029.00    96.196
 2029.50    96.303
 2030.00    96.184
 2030.50    96.140
 2031.00    95.940
 2031.50    95.866
 2032.00    95.808
 2032.50    95.671
 2033.00    95.471
 2033.50    95.296
 2034.00    95.323
 2034.50    95.267
 2035.00    95.348
 2035.50    95.375
 2036.00    95.241
 2036.50    95.099
 2037.00    95.035
 2037.50    95.030
 2038.00    94.958
 2038.50    94.962
 2039.00    94.896
 2039.50    94.725
 2040.00    94.615
 2040.50    94.667
 2041.00    94.818
 2041.50    94.902
 2042.00    94.997
 2042.50    94.992
 2043.00    94.885
 2043.50    94.894
 2044.00    95.076
 2044.50    95.090
 2045.00    95.001
 2045.50    94.873
 2046.00    94.640
 2046.50    94.467
 2047.00    94.440
 2047.50    94.370
 2048.00    94.354
 2048.50    94.101
 2049.00    94.002
 2049.50    93.973
 2050.00    93.883
 2050.50    93.901
 2051.00    93.964
 2051.50    94.061
 2052.00    93.848
 2052.50    94.075
 2053.00    94.142
 2053.50    94.257
 2054.00    94.461
 2054.50    94.748
 2055.00    94.810
 2055.50    94.766
 2056.00    94.943
 2056.50    94.948
 2057.00    94.952
 2057.50    94.830
 2058.00    94.756
 2058.50    94.577
 2059.00    94.600
 2059.50    94.678
 2060.00    94.630
 2060.50    94.678
 2061.00    94.759
 2061.50    94.870
 2062.00    95.079
 2062.50    94.995
 2063.00    94.984
 2063.50    94.821
 2064.00    94.856
 2064.50    94.846
 2065.00    94.838
 2065.50    94.836
 2066.00    94.807
 2066.50    94.926
 2067.00    94.978
 2067.50    95.235
 2068.00    95.477
 2068.50    95.535
 2069.00    95.656
 2069.50    95.749
 2070.00    95.821
 2070.50    95.970
 2071.00    96.075
 2071.50    96.106
 2072.00    95.956
 2072.50    95.956
 2073.00    95.956
 2073.50    95.999
 2074.00    96.068
 2074.50    96.281
 2075.00    96.254
 2075.50    96.365
 2076.00    96.550
 2076.50    96.765
 2077.00    96.857
 2077.50    97.006
 2078.00    97.086
 2078.50    97.009
 2079.00    97.084
 2079.50    97.133
 2080.00    97.156
 2080.50    97.139
 2081.00    97.298
 2081.50    97.267
 2082.00    97.328
 2082.50    97.336
 2083.00    97.438
 2083.50    97.496
