#S-FTM16 internal lense transmission from Zemax, 12mm
#Angstroms Trans
3636 0.5059591
3854 0.9463174
4072 0.9829843
4290 0.9873534
4508 0.9886588
4726 0.9899644
4944 0.9921332
5162 0.9939694
5380 0.9955376
5598 0.9964011
5816 0.9964011
6034 0.9963195
6252 0.9957967
6470 0.9952739
6688 0.9952019
6906 0.9952019
7124 0.995648
7342 0.9964323
7560 0.9972167
7778 0.9980011
7996 0.9987857
8214 0.9988001
8432 0.9988001
8650 0.9988001
8868 0.9988001
9086 0.9988001
9304 0.9988001
9522 0.9988001
9740 0.9988001
9958 0.9988001
10176 0.9988001
10394 0.9988001
10612 0.9988001
10830 0.9988001
11048 0.9988001
11266 0.9988001
11484 0.9988001
11702 0.9988001
11920 0.9988001
12138 0.9985518
12356 0.9981595
12574 0.9977672
12792 0.997375
13010 0.9969828
13228 0.9965906
13446 0.9961984
13664 0.9958063
13882 0.9954141
14100 0.995082
14318 0.9948206
14536 0.9945593
14754 0.9942979
14972 0.9940366
15190 0.9937752
15408 0.9935139
15626 0.9932526
15844 0.9929913
16062 0.9926186
16280 0.9919654
16498 0.9913123
16716 0.9906593
16934 0.9900064
17152 0.9893535
17370 0.9887007
17588 0.988048
17806 0.9873953
18024 0.9867859
18242 0.9865248
18460 0.9862638
18678 0.9860028
18896 0.9857418
19114 0.9854809
19332 0.9852199
19550 0.984959
19768 0.984698
19986 0.9844371
20204 0.9810031
20422 0.9773535
20640 0.9737062
20858 0.9700612
21076 0.9664184
21294 0.962778
21512 0.9591398
21730 0.9555039
21948 0.9518703
22166 0.9504114
22384 0.9496333
22602 0.9488552
22820 0.9480773
23038 0.9472995
23256 0.9465218
23474 0.9457442
23692 0.9449668
23910 0.9441894

