#Internal lense transmission, N-Bak4 + S-FTM16, from zemax
#angstroms trans
3636 0.4394937322
3854 0.9168731126
4072 0.9719841159
4290 0.9789861723
4508 0.9809919487
4726 0.9836101155
4944 0.9876081797
5162 0.9903870349
5380 0.9925922025
5598 0.9936891951
5816 0.9936619934
6034 0.9932108835
6252 0.9924083026
6470 0.9918872815
6688 0.992113689
6906 0.9928523278
7124 0.9935691865
7342 0.994269743
7560 0.9949701702
7778 0.9956705678
7996 0.9963709358
8214 0.9963029999
8432 0.9962205989
8650 0.9961382977
8868 0.9960558967
9086 0.9959735956
9304 0.9958911946
9522 0.9958087936
9740 0.9957264925
9958 0.9956440914
10176 0.9955616904
10394 0.9954792894
10612 0.99537891
10830 0.9949686029
11048 0.9945582959
11266 0.9941478889
11484 0.9937374819
11702 0.9933268752
11920 0.9929162685
12138 0.9922588267
12356 0.991458456
12574 0.9906583083
12792 0.9898585825
13010 0.9890590798
13228 0.9882598002
13446 0.9874607438
13664 0.9866620099
13882 0.9858634003
14100 0.9851246125
14318 0.9844559621
14536 0.9837875266
14754 0.9831191081
14972 0.982451004
15190 0.9817829172
15408 0.9799498521
15626 0.9769283942
15844 0.9739048156
16062 0.9707699727
16280 0.9673599958
16498 0.9639499988
16716 0.9605399881
16934 0.9571299705
17152 0.9537198561
17370 0.9503096496
17588 0.9468993578
17806 0.9434889907
18024 0.9401196106
18242 0.9370805716
18460 0.9340392579
18678 0.9309954786
18896 0.9279492369
19114 0.9249006297
19332 0.9218493738
19550 0.9187956596
19768 0.9140949565
19986 0.9057470064
20204 0.8944758798
20422 0.8830321435
20640 0.8716158313
20858 0.8602268937
21076 0.8488647155
21294 0.8375293435
21512 0.8262200964
21730 0.8149367592
21948 0.8036790387
22166 0.7942619433
22384 0.7853932711
22602 0.7764973609
22820 0.7675738109
23038 0.758621501
23256 0.7494518912
23474 0.7335620437
23692 0.7175463651
23910 0.7013987437

