#Reference Al coating at OHP (Up to 850nm)
# angstrom Reflectance
350 91.027
351 91.033
352 90.981
353 91.009
354 91.006
355 90.986
356 91.023
357 91.060
358 91.027
359 91.023
360 91.013
361 91.016
362 91.031
363 91.009
364 90.976
365 91.028
366 91.007
367 91.033
368 91.030
369 91.050
370 91.052
371 90.999
372 91.039
373 91.059
374 91.019
375 91.003
376 91.013
377 91.025
378 91.033
379 91.054
380 91.058
381 91.024
382 91.043
383 90.994
384 91.027
385 91.075
386 91.063
387 91.045
388 91.003
389 91.030
390 91.038
391 91.022
392 91.001
393 91.043
394 91.031
395 91.039
396 90.997
397 91.064
398 91.032
399 91.041
400 91.041
401 91.038
402 91.022
403 91.018
404 91.052
405 91.007
406 91.017
407 90.992
408 90.994
409 91.023
410 91.009
411 91.018
412 91.002
413 91.019
414 90.990
415 91.008
416 90.960
417 90.977
418 90.992
419 90.929
420 90.997
421 90.949
422 90.960
423 90.959
424 90.959
425 90.954
426 90.977
427 90.934
428 90.942
429 90.946
430 90.940
431 90.930
432 90.915
433 90.897
434 90.931
435 90.917
436 90.925
437 90.927
438 90.911
439 90.889
440 90.910
441 90.899
442 90.900
443 90.892
444 90.907
445 90.877
446 90.873
447 90.884
448 90.847
449 90.835
450 90.837
451 90.834
452 90.848
453 90.844
454 90.830
455 90.829
456 90.851
457 90.819
458 90.817
459 90.804
460 90.825
461 90.826
462 90.792
463 90.801
464 90.826
465 90.803
466 90.792
467 90.808
468 90.777
469 90.796
470 90.783
471 90.770
472 90.806
473 90.779
474 90.781
475 90.773
476 90.769
477 90.777
478 90.772
479 90.774
480 90.768
481 90.753
482 90.747
483 90.758
484 90.747
485 90.731
486 90.741
487 90.736
488 90.712
489 90.763
490 90.686
491 90.720
492 90.706
493 90.684
494 90.712
495 90.701
496 90.692
497 90.698
498 90.670
499 90.651
500 90.697
501 90.659
502 90.635
503 90.653
504 90.649
505 90.646
506 90.630
507 90.658
508 90.656
509 90.623
510 90.613
511 90.611
512 90.604
513 90.588
514 90.594
515 90.570
516 90.609
517 90.577
518 90.588
519 90.550
520 90.574
521 90.565
522 90.557
523 90.566
524 90.549
525 90.545
526 90.520
527 90.518
528 90.511
529 90.519
530 90.506
531 90.504
532 90.488
533 90.459
534 90.451
535 90.443
536 90.482
537 90.432
538 90.455
539 90.438
540 90.431
541 90.414
542 90.400
543 90.399
544 90.404
545 90.389
546 90.419
547 90.405
548 90.376
549 90.406
550 90.355
551 90.348
552 90.364
553 90.308
554 90.335
555 90.314
556 90.317
557 90.331
558 90.304
559 90.289
560 90.307
561 90.277
562 90.290
563 90.261
564 90.226
565 90.263
566 90.262
567 90.286
568 90.257
569 90.296
570 90.213
571 90.233
572 90.221
573 90.244
574 90.215
575 90.180
576 90.206
577 90.173
578 90.171
579 90.131
580 90.159
581 90.172
582 90.139
583 90.094
584 90.103
585 90.103
586 90.110
587 90.080
588 90.057
589 90.068
590 90.039
591 90.020
592 89.983
593 89.991
594 90.043
595 89.987
596 90.043
597 89.957
598 89.947
599 89.923
600 89.932
601 89.922
602 89.892
603 89.878
604 89.859
605 89.846
606 89.870
607 89.847
608 89.796
609 89.770
610 89.759
611 89.735
612 89.729
613 89.731
614 89.673
615 89.701
616 89.691
617 89.682
618 89.662
619 89.641
620 89.638
621 89.631
622 89.584
623 89.593
624 89.619
625 89.563
626 89.543
627 89.564
628 89.562
629 89.534
630 89.508
631 89.462
632 89.491
633 89.475
634 89.443
635 89.449
636 89.406
637 89.423
638 89.337
639 89.398
640 89.349
641 89.357
642 89.306
643 89.311
644 89.306
645 89.282
646 89.304
647 89.283
648 89.255
649 89.224
650 89.241
651 89.220
652 89.162
653 89.154
654 89.155
655 89.131
656 89.121
657 89.090
658 89.068
659 89.066
660 89.049
661 89.073
662 89.034
663 89.004
664 89.004
665 89.005
666 88.985
667 88.957
668 88.918
669 88.933
670 88.925
671 88.875
672 88.885
673 88.833
674 88.859
675 88.839
676 88.824
677 88.761
678 88.774
679 88.755
680 88.682
681 88.711
682 88.694
683 88.665
684 88.643
685 88.648
686 88.600
687 88.616
688 88.606
689 88.575
690 88.565
691 88.566
692 88.553
693 88.517
694 88.490
695 88.468
696 88.418
697 88.419
698 88.458
699 88.407
700 88.356
701 88.335
702 88.298
703 88.266
704 88.264
705 88.247
706 88.245
707 88.198
708 88.221
709 88.151
710 88.127
711 88.100
712 88.081
713 88.081
714 88.015
715 88.031
716 87.996
717 87.971
718 87.925
719 87.900
720 87.919
721 87.864
722 87.817
723 87.835
724 87.820
725 87.780
726 87.709
727 87.717
728 87.703
729 87.670
730 87.619
731 87.563
732 87.597
733 87.562
734 87.528
735 87.457
736 87.482
737 87.437
738 87.396
739 87.358
740 87.341
741 87.347
742 87.254
743 87.227
744 87.223
745 87.223
746 87.148
747 87.090
748 87.152
749 87.068
750 87.037
751 86.984
752 86.980
753 86.972
754 86.886
755 86.827
756 86.805
757 86.795
758 86.739
759 86.695
760 86.687
761 86.673
762 86.570
763 86.588
764 86.528
765 86.511
766 86.449
767 86.399
768 86.381
769 86.337
770 86.318
771 86.298
772 86.226
773 86.192
774 86.152
775 86.131
776 86.120
777 86.054
778 85.992
779 85.947
780 85.961
781 85.909
782 85.830
783 85.776
784 85.727
785 85.755
786 85.679
787 85.651
788 85.607
789 85.515
790 85.577
791 85.501
792 85.519
793 85.422
794 85.426
795 85.332
796 85.310
797 85.291
798 85.218
799 85.140
800 85.206
801 85.086
802 85.076
803 85.070
804 85.056
805 85.034
806 84.983
807 85.027
808 84.914
809 84.877
810 84.886
811 84.882
812 84.842
813 84.815
814 84.884
815 84.828
816 84.736
817 84.730
818 84.703
819 84.684
820 84.615
821 84.690
822 84.636
823 84.729
824 84.619
825 84.649
826 84.644
827 84.756
828 84.715
829 84.643
830 84.747
831 84.709
832 84.658
833 84.716
834 84.772
835 84.736
836 84.710
837 84.841
838 84.915
839 84.868
840 84.986
841 84.878
