#Reference Al coating at OHP (<850nm) and unam(>850nm)
# angstrom Reflectance
3500 0.910
3510 0.910
3520 0.910
3530 0.910
3540 0.910
3550 0.910
3560 0.910
3570 0.911
3580 0.910
3590 0.910
3600 0.910
3610 0.910
3620 0.910
3630 0.910
3640 0.910
3650 0.910
3660 0.910
3670 0.910
3680 0.910
3690 0.910
3700 0.911
3710 0.910
3720 0.910
3730 0.911
3740 0.910
3750 0.910
3760 0.910
3770 0.910
3780 0.910
3790 0.911
3800 0.911
3810 0.910
3820 0.910
3830 0.910
3840 0.910
3850 0.911
3860 0.911
3870 0.910
3880 0.910
3890 0.910
3900 0.910
3910 0.910
3920 0.910
3930 0.910
3940 0.910
3950 0.910
3960 0.910
3970 0.911
3980 0.910
3990 0.910
4000 0.910
4010 0.910
4020 0.910
4030 0.910
4040 0.911
4050 0.910
4060 0.910
4070 0.910
4080 0.910
4090 0.910
4100 0.910
4110 0.910
4120 0.910
4130 0.910
4140 0.910
4150 0.910
4160 0.910
4170 0.910
4180 0.910
4190 0.909
4200 0.910
4210 0.909
4220 0.910
4230 0.910
4240 0.910
4250 0.910
4260 0.910
4270 0.909
4280 0.909
4290 0.909
4300 0.909
4310 0.909
4320 0.909
4330 0.909
4340 0.909
4350 0.909
4360 0.909
4370 0.909
4380 0.909
4390 0.909
4400 0.909
4410 0.909
4420 0.909
4430 0.909
4440 0.909
4450 0.909
4460 0.909
4470 0.909
4480 0.908
4490 0.908
4500 0.908
4510 0.908
4520 0.908
4530 0.908
4540 0.908
4550 0.908
4560 0.909
4570 0.908
4580 0.908
4590 0.908
4600 0.908
4610 0.908
4620 0.908
4630 0.908
4640 0.908
4650 0.908
4660 0.908
4670 0.908
4680 0.908
4690 0.908
4700 0.908
4710 0.908
4720 0.908
4730 0.908
4740 0.908
4750 0.908
4760 0.908
4770 0.908
4780 0.908
4790 0.908
4800 0.908
4810 0.908
4820 0.907
4830 0.908
4840 0.907
4850 0.907
4860 0.907
4870 0.907
4880 0.907
4890 0.908
4900 0.907
4910 0.907
4920 0.907
4930 0.907
4940 0.907
4950 0.907
4960 0.907
4970 0.907
4980 0.907
4990 0.907
5000 0.907
5010 0.907
5020 0.906
5030 0.907
5040 0.906
5050 0.906
5060 0.906
5070 0.907
5080 0.907
5090 0.906
5100 0.906
5110 0.906
5120 0.906
5130 0.906
5140 0.906
5150 0.906
5160 0.906
5170 0.906
5180 0.906
5190 0.905
5200 0.906
5210 0.906
5220 0.906
5230 0.906
5240 0.905
5250 0.905
5260 0.905
5270 0.905
5280 0.905
5290 0.905
5300 0.905
5310 0.905
5320 0.905
5330 0.905
5340 0.905
5350 0.904
5360 0.905
5370 0.904
5380 0.905
5390 0.904
5400 0.904
5410 0.904
5420 0.904
5430 0.904
5440 0.904
5450 0.904
5460 0.904
5470 0.904
5480 0.904
5490 0.904
5500 0.904
5510 0.903
5520 0.904
5530 0.903
5540 0.903
5550 0.903
5560 0.903
5570 0.903
5580 0.903
5590 0.903
5600 0.903
5610 0.903
5620 0.903
5630 0.903
5640 0.902
5650 0.903
5660 0.903
5670 0.903
5680 0.903
5690 0.903
5700 0.902
5710 0.902
5720 0.902
5730 0.902
5740 0.902
5750 0.902
5760 0.902
5770 0.902
5780 0.902
5790 0.901
5800 0.902
5810 0.902
5820 0.901
5830 0.901
5840 0.901
5850 0.901
5860 0.901
5870 0.901
5880 0.901
5890 0.901
5900 0.900
5910 0.900
5920 0.900
5930 0.900
5940 0.900
5950 0.900
5960 0.900
5970 0.900
5980 0.899
5990 0.899
6000 0.899
6010 0.899
6020 0.899
6030 0.899
6040 0.899
6050 0.898
6060 0.899
6070 0.898
6080 0.898
6090 0.898
6100 0.898
6110 0.897
6120 0.897
6130 0.897
6140 0.897
6150 0.897
6160 0.897
6170 0.897
6180 0.897
6190 0.896
6200 0.896
6210 0.896
6220 0.896
6230 0.896
6240 0.896
6250 0.896
6260 0.895
6270 0.896
6280 0.896
6290 0.895
6300 0.895
6310 0.895
6320 0.895
6330 0.895
6340 0.894
6350 0.894
6360 0.894
6370 0.894
6380 0.893
6390 0.894
6400 0.893
6410 0.894
6420 0.893
6430 0.893
6440 0.893
6450 0.893
6460 0.893
6470 0.893
6480 0.893
6490 0.892
6500 0.892
6510 0.892
6520 0.892
6530 0.892
6540 0.892
6550 0.891
6560 0.891
6570 0.891
6580 0.891
6590 0.891
6600 0.890
6610 0.891
6620 0.890
6630 0.890
6640 0.890
6650 0.890
6660 0.890
6670 0.890
6680 0.889
6690 0.889
6700 0.889
6710 0.889
6720 0.889
6730 0.888
6740 0.889
6750 0.888
6760 0.888
6770 0.888
6780 0.888
6790 0.888
6800 0.887
6810 0.887
6820 0.887
6830 0.887
6840 0.886
6850 0.886
6860 0.886
6870 0.886
6880 0.886
6890 0.886
6900 0.886
6910 0.886
6920 0.886
6930 0.885
6940 0.885
6950 0.885
6960 0.884
6970 0.884
6980 0.885
6990 0.884
7000 0.884
7010 0.883
7020 0.883
7030 0.883
7040 0.883
7050 0.882
7060 0.882
7070 0.882
7080 0.882
7090 0.882
7100 0.881
7110 0.881
7120 0.881
7130 0.881
7140 0.880
7150 0.880
7160 0.880
7170 0.880
7180 0.879
7190 0.879
7200 0.879
7210 0.879
7220 0.878
7230 0.878
7240 0.878
7250 0.878
7260 0.877
7270 0.877
7280 0.877
7290 0.877
7300 0.876
7310 0.876
7320 0.876
7330 0.876
7340 0.875
7350 0.875
7360 0.875
7370 0.874
7380 0.874
7390 0.874
7400 0.873
7410 0.873
7420 0.873
7430 0.872
7440 0.872
7450 0.872
7460 0.871
7470 0.871
7480 0.872
7490 0.871
7500 0.870
7510 0.870
7520 0.870
7530 0.870
7540 0.869
7550 0.868
7560 0.868
7570 0.868
7580 0.867
7590 0.867
7600 0.867
7610 0.867
7620 0.866
7630 0.866
7640 0.865
7650 0.865
7660 0.864
7670 0.864
7680 0.864
7690 0.863
7700 0.863
7710 0.863
7720 0.862
7730 0.862
7740 0.862
7750 0.861
7760 0.861
7770 0.861
7780 0.860
7790 0.859
7800 0.860
7810 0.859
7820 0.858
7830 0.858
7840 0.857
7850 0.858
7860 0.857
7870 0.857
7880 0.856
7890 0.855
7900 0.856
7910 0.855
7920 0.855
7930 0.854
7940 0.854
7950 0.853
7960 0.853
7970 0.853
7980 0.852
7990 0.851
8000 0.852
8010 0.851
8020 0.851
8030 0.851
8040 0.851
8050 0.850
8060 0.850
8070 0.850
8080 0.849
8090 0.849
8100 0.849
8110 0.849
8120 0.848
8130 0.848
8140 0.849
8150 0.848
8160 0.847
8170 0.847
8180 0.847
8190 0.847
8200 0.846
8210 0.847
8220 0.846
8230 0.847
8240 0.846
8250 0.846
8260 0.846
8270 0.848
8280 0.847
8290 0.846
8300 0.847
8310 0.847
8320 0.847
8330 0.847
8340 0.848
8350 0.847
8360 0.847
8370 0.848
8380 0.849
8390 0.849
8400 0.850
8410 0.849
8420 0.850
8430 0.850
8440 0.850
8450 0.850
8460 0.852
8470 0.852
8480 0.851
8490 0.851
8500 0.853
9000.0 0.90
10000.0 0.917
12000.0 0.94
16000.0 0.95
19000.0 0.953
22000.0 0.96
40000.0 0.96
