# Gold coated mirror from https://www.global-optosigma.com/en_eu/category/opt_d/opt_d03.html
#angstrom reflectivity
2000 0.24
2500 0.28
3000 0.31
3500 0.34
4000 0.37
4500 0.41
5000 0.52
5500 0.81
6000 0.91
6500 0.95
7000 0.96
7500 0.97
8000 0.97
8500 0.97
9000 0.98
9500 0.98
10000 0.98
10500 0.98
11000 0.98
11500 0.98
12000 0.98
12500 0.98
13000 0.98
13500 0.98
14000 0.99
14500 0.99
15000 0.99
15500 0.99
16000 0.99
16500 0.99
17000 0.99
17500 0.99
18000 0.99
18500 0.99
19000 0.99
19500 0.99
20000 0.99
21000 0.99
22000 0.99
23000 0.99
24000 0.99
25000 0.99
30000 0.99
40000 0.99
50000 0.99
100000 0.99

